R,G,B
0.06762820513,0.1807264957,0.3568910256
0.07131410256,0.1904807692,0.3661431624
0.07496794872,0.2003525641,0.3755555556
0.07865384615,0.2098931624,0.3844017094
0.08264957265,0.2197115385,0.3929700855
0.08626068376,0.2288034188,0.4013141026
0.09022435897,0.2359294872,0.4098504274
0.09395299145,0.2423397436,0.4189423077
0.09767094017,0.2487606838,0.428034188
0.1012286325,0.2554273504,0.4374679487
0.1044551282,0.2623290598,0.4466132479
0.1076923077,0.269775641,0.4551388889
0.1108333333,0.2775106838,0.463792735
0.1140598291,0.2856837607,0.4719123932
0.1167948718,0.2928846154,0.4791452991
0.1199145299,0.3000106838,0.4870726496
0.1231517094,0.3064423077,0.4951068376
0.1258974359,0.3127029915,0.5032051282
0.1288675214,0.3188782051,0.5123717949
0.1316346154,0.3251068376,0.5208974359
0.134508547,0.3312179487,0.5296047009
0.1375,0.3373717949,0.5381089744
0.1407905983,0.3437286325,0.5464209402
0.1436538462,0.3503418803,0.5536217949
0.1468482906,0.3571581197,0.561207265
0.1499038462,0.3642948718,0.5686858974
0.1528205128,0.3716773504,0.5761858974
0.1555876068,0.3792735043,0.5835790598
0.1581517094,0.3861324786,0.5916452991
0.160715812,0.3933653846,0.5994978632
0.1632264957,0.401474359,0.606784188
0.1653205128,0.4089850427,0.6139957265
0.1679487179,0.4169337607,0.6202136752
0.1703418803,0.4251602564,0.6269444444
0.1725961538,0.4328952991,0.6327564103
0.1749252137,0.4413675214,0.6380448718
0.1770512821,0.4503846154,0.6439850427
0.1794230769,0.4595299145,0.6493269231
0.1822435897,0.4693269231,0.6546688034
0.1852457265,0.4789529915,0.6595512821
0.1886111111,0.488215812,0.6645512821
0.1926602564,0.4983440171,0.669241453
0.1988461538,0.5078525641,0.6734081197
0.2058333333,0.5181196581,0.6772649573
0.2134935897,0.5277350427,0.6807478632
0.2214209402,0.5373183761,0.6837606838
0.2283547009,0.5462286325,0.6861431624
0.2351709402,0.5551282051,0.6883653846
0.2420299145,0.5632371795,0.6903632479
0.2489316239,0.5714957265,0.6925320513
0.2562713675,0.5797435897,0.6943482906
0.2640598291,0.5874786325,0.6963034188
0.2719764957,0.5958653846,0.6980021368
0.2800641026,0.6038995726,0.6993376068
0.2871901709,0.6125641026,0.7008226496
0.2947542735,0.6208119658,0.7020405983
0.3014850427,0.6289316239,0.7031089744
0.3084188034,0.6371260684,0.7043482906
0.315534188,0.6447970085,0.7054059829
0.3218696581,0.6512179487,0.7066025641
0.3283119658,0.6571474359,0.7075961538
0.3350641026,0.6630982906,0.7087393162
0.3416452991,0.668215812,0.7096260684
0.3482799145,0.6730235043,0.7103205128
0.3544978632,0.6770940171,0.7111858974
0.3604380342,0.6811431624,0.7122542735
0.3675106838,0.6846047009,0.7133867521
0.3742094017,0.688034188,0.714284188
