R,G,B
0,0.00E+00,3.81E-03
0.00E+00,0.00E+00,4.62E-03
0,0.00E+00,5.31E-03
0,0.00E+00,5.97E-03
0.00E+00,0.00E+00,6.72E-03
0.00E+00,1.07E-05,7.61E-03
0.00E+00,2.14E-05,8.60E-03
1.07E-05,8.55E-05,0.01002136752
2.14E-05,2.24E-04,1.26E-02
9.62E-05,4.59E-04,1.57E-02
1.18E-04,8.01E-04,2.07E-02
2.56E-04,1.70E-03,2.72E-02
4.17E-04,3.41E-03,0.03567307692
6.84E-04,0.005822649573,0.04467948718
9.94E-04,0.009615384615,0.05498931624
1.76E-03,0.01480769231,0.06504273504
2.84E-03,0.02150641026,0.07587606838
4.33E-03,0.0296474359,0.08639957265
6.62E-03,0.03918803419,0.09665598291
0.009305555556,0.05068376068,0.1061752137
1.31E-02,0.06170940171,0.1152136752
0.01819444444,0.07268162393,0.1237820513
0.02465811966,0.08222222222,0.1324252137
0.03262820513,0.09101495726,0.1407905983
4.16E-02,0.09896367521,0.1500641026
0.05123931624,0.1061111111,0.1608119658
0.05933760684,0.1131730769,0.1730982906
6.79E-02,0.1189209402,0.1862286325
7.56E-02,0.1244871795,0.1984188034
0.0824465812,0.1297115385,0.2090918803
0.08875,0.1351495726,0.2189636752
9.39E-02,0.1405021368,0.2283760684
9.89E-02,0.1454059829,0.2370405983
0.1034294872,0.1497863248,0.244732906
0.107457265,0.15375,0.2525213675
1.11E-01,0.157542735,0.2604594017
1.15E-01,0.1606730769,0.2689636752
0.1182905983,0.1638034188,0.2783547009
0.1214316239,0.1668910256,0.2875213675
1.25E-01,0.1699252137,0.2973290598
1.27E-01,0.1730876068,0.3078311966
0.1300534188,0.1761217949,0.3192094017
0.1323504274,0.1792307692,0.3304594017
1.35E-01,0.1821794872,0.3422435897
0.1366346154,0.1855021368,0.3536324786
0.1386217949,0.1886752137,0.3641025641
0.1405769231,0.1922435897,0.3741452991
0.1422863248,0.1960897436,0.3843162393
0.1440491453,0.1995512821,0.3938354701
0.1456730769,0.2036538462,0.4030982906
0.1473611111,0.2079273504,0.4122008547
0.1489850427,0.2133974359,0.4215064103
0.1502777778,0.2210470085,0.4312713675
0.1515918803,0.2285576923,0.4414957265
0.1531944444,0.235758547,0.4515811966
0.1546047009,0.2431303419,0.4610576923
0.1561538462,0.2500961538,0.4695192308
0.157232906,0.2566880342,0.4778418803
0.1583974359,0.2627136752,0.4864636752
0.1597115385,0.2686538462,0.4943055556
0.161025641,0.2739957265,0.5026388889
0.1623076923,0.2793910256,0.5103205128
0.1636004274,0.284465812,0.5184722222
0.1648504274,0.2898611111,0.5265918803
0.166207265,0.2953311966,0.5334294872
0.1679059829,0.3008547009,0.5396153846
0.1691559829,0.3064636752,0.5461004274
0.1705876068,0.3122649573,0.5523824786
0.1719551282,0.318525641,0.5584188034
0.1733440171,0.3247115385,0.5642628205
0.1748076923,0.331741453,0.5708012821
0.1763782051,0.339284188,0.5770619658
0.1780769231,0.3469444444,0.5833012821
0.1794551282,0.3551175214,0.5898290598
0.1808333333,0.3623183761,0.5954059829
0.1825534188,0.3702136752,0.601292735
0.1839957265,0.3784615385,0.6075747863
0.185534188,0.38625,0.613215812
0.1873397436,0.3946047009,0.6189957265
0.188792735,0.4025534188,0.6239423077
0.1906410256,0.4102884615,0.6291025641
0.1924145299,0.4179273504,0.6333547009
0.1945726496,0.425715812,0.6372008547
0.1971260684,0.4333012821,0.6411324786
0.1999252137,0.4408547009,0.6450106838
0.2028311966,0.4491346154,0.6483440171
0.2067307692,0.4564636752,0.6513782051
0.2116239316,0.4639102564,0.6540491453
0.2187393162,0.470715812,0.6563354701
0.2262606838,0.4782371795,0.6588247863
0.2333333333,0.4865491453,0.6606730769
0.2400106838,0.4947435897,0.6627350427
0.2464423077,0.5029807692,0.6644978632
0.2529380342,0.5119871795,0.6661858974
0.2586324786,0.5208760684,0.667724359
0.2642307692,0.5302777778,0.6689529915
0.2693589744,0.5398183761,0.6704487179
0.2743589744,0.5492200855,0.6717307692
0.279017094,0.5581089744,0.6731623932
0.2840811966,0.5665598291,0.6742628205
0.2904273504,0.5751068376,0.6755769231
0.2971260684,0.5831303419,0.6767094017
0.3034401709,0.5908012821,0.6776816239
0.3115918803,0.598525641,0.6788141026
0.3203632479,0.6069337607,0.6799893162
0.3295726496,0.6147115385,0.6809615385
0.3400534188,0.6218162393,0.6821367521
0.3503525641,0.6286004274,0.6833867521
0.3592200855,0.6348183761,0.6846047009
0.3682478632,0.6406944444,0.6858119658
0.3770726496,0.6467948718,0.6869444444
0.3855769231,0.6521367521,0.6881303419
0.3944017094,0.6571367521,0.6893803419
0.4030982906,0.6618696581,0.6908760684
0.4123076923,0.6658226496,0.692232906
0.4208760684,0.670042735,0.6935470085
0.4287179487,0.6739102564,0.694732906
0.4369017094,0.6779166667,0.6958333333
0.4446367521,0.6813247863,0.6971581197
0.4533119658,0.6842521368,0.6985683761
0.4617735043,0.6868910256,0.6998397436
0.4702029915,0.6892307692,0.700982906
0.4790918803,0.6915277778,0.7019978632
0.4878205128,0.693525641,0.7032478632
0.4966987179,0.6954273504,0.7044123932
0.5061111111,0.6971047009,0.7054700855
0.5159722222,0.6990064103,0.7065064103
0.5258974359,0.7005876068,0.7076495726
0.5362286325,0.7017735043,0.7089209402
0.5470619658,0.7031410256,0.7100106838
0.5575854701,0.704284188,0.7110576923
0.5683653846,0.7055448718,0.7123611111
0.5790064103,0.7066452991,0.7134401709
0.5899893162,0.7078205128,0.7145940171
0.5996901709,0.7089209402,0.7157799145
0.6087393162,0.7101175214,0.7170940171
0.6172863248,0.7113141026,0.7187179487
0.6256410256,0.7126388889,0.7203418803
0.6336752137,0.7139850427,0.7221474359
0.6414209402,0.7151602564,0.7238461538
0.6486217949,0.7163995726,0.7258226496
0.6560042735,0.7179166667,0.7276388889
0.6630235043,0.7195405983,0.7293696581
0.67,0.7212713675,0.7316559829
0.6774038462,0.7230448718,0.7340491453
0.6848183761,0.7251495726,0.7357905983
0.6925,0.7271474359,0.7376923077
0.6999038462,0.7289209402,0.7394978632
0.706741453,0.7311431624,0.7413354701
0.7128525641,0.7334294872,0.7433974359
0.7184508547,0.735758547,0.7452991453
0.7234935897,0.7380021368,0.7472863248
0.7284401709,0.7402029915,0.7496260684
0.732767094,0.742275641,0.7522970085
0.7368376068,0.7446581197,0.7551923077
0.7411538462,0.7473931624,0.7583226496
0.7453311966,0.7503205128,0.7610576923
0.7493910256,0.753258547,0.7643696581
0.7532905983,0.7563568376,0.7671901709
0.7572970085,0.7598290598,0.7701923077
0.7609401709,0.7635470085,0.7734081197
0.7647115385,0.7667200855,0.7763461538
0.7683653846,0.7702029915,0.7793055556
0.7715384615,0.7733333333,0.7828205128
0.7751495726,0.7764850427,0.7866880342
0.7787393162,0.7797115385,0.790982906
0.7826602564,0.7834615385,0.7953739316
0.7874145299,0.7874893162,0.8000534188
0.7923504274,0.7915064103,0.8041132479
0.7973504274,0.795982906,0.8084081197
0.8024786325,0.8001602564,0.8127457265
0.8073824786,0.8048290598,0.8170405983
0.8115918803,0.8090705128,0.8216773504
0.8169230769,0.8130555556,0.8266880342
0.8228418803,0.8168589744,0.833707265
0.8306837607,0.8217094017,0.8409188034
0.8404807692,0.8280662393,0.8499786325
0.8533333333,0.8363034188,0.8608867521
0.8698824786,0.8460363248,0.8748504274
0.8894337607,0.8593162393,0.8924786325
0.908525641,0.8768696581,0.9156410256
0.9270192308,0.8972970085,0.9389957265
0.9468269231,0.9173397436,0.9593910256
0.9674145299,0.9376709402,0.9760897436
0.9840064103,0.9591559829,0.9880448718
0.9935897436,0.9786538462,0.9953311966
0.997542735,0.9906730769,0.9983226496
0.9992521368,0.996784188,0.9995940171
0.999732906,0.9990277778,0.9998290598
0.9998824786,0.9996688034,0.9999252137
0.9999465812,0.9998397436,0.999957265
0.9999679487,0.9999252137,0.9999786325
0.9999786325,0.9999786325,0.9999786325
0.9999786325,1,1
0.9999786325,1,1
0.9999893162,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
