R,G,B
0,0.00E+00,1.07E-05
0.00E+00,0.00E+00,1.07E-05
0,0.00E+00,1.07E-05
0,0.00E+00,6.41E-05
0.00E+00,0.00E+00,1.28E-04
0.00E+00,0.00E+00,2.99E-04
0.00E+00,0.00E+00,7.37E-04
3.21E-05,3.21E-05,0.00125
1.28E-04,1.28E-04,2.17E-03
5.34E-04,5.34E-04,3.74E-03
1.14E-03,1.14E-03,5.53E-03
2.19E-03,2.19E-03,7.99E-03
3.60E-03,3.60E-03,0.01146367521
5.30E-03,0.005299145299,0.01587606838
7.56E-03,0.007564102564,0.02188034188
1.03E-02,0.01034188034,0.02873931624
1.45E-02,0.01452991453,0.03643162393
1.95E-02,0.01947649573,0.04489316239
2.57E-02,0.02567307692,0.05298076923
0.0330982906,0.0330982906,0.06153846154
4.08E-02,0.04084401709,0.07025641026
0.04865384615,0.04865384615,0.07895299145
0.05639957265,0.05639957265,0.08852564103
0.06442307692,0.06442307692,0.09738247863
7.31E-02,0.07306623932,0.1057799145
0.08127136752,0.08127136752,0.1145192308
0.08840811966,0.08840811966,0.123034188
9.52E-02,0.09517094017,0.1314423077
1.01E-01,0.1014850427,0.1399465812
0.1072649573,0.1072649573,0.1493269231
0.1123717949,0.1123717949,0.1585683761
1.17E-01,0.1174893162,0.1682371795
1.22E-01,0.1222435897,0.1778311966
0.1268482906,0.1268482906,0.1866987179
0.1312179487,0.1312179487,0.1961217949
1.35E-01,0.1354807692,0.2050854701
1.40E-01,0.1395619658,0.2136965812
0.1433012821,0.1433012821,0.2221474359
0.1470833333,0.1470833333,0.2303739316
1.51E-01,0.150758547,0.2385363248
1.54E-01,0.1541452991,0.2466666667
0.1577350427,0.1577350427,0.2545405983
0.1609508547,0.1609508547,0.2634188034
1.64E-01,0.1642628205,0.2716025641
0.1677991453,0.1677991453,0.2799786325
0.1713461538,0.1713461538,0.2881944444
0.1752564103,0.1752564103,0.2958760684
0.1797970085,0.1797970085,0.3032905983
0.1846794872,0.1846794872,0.3115064103
0.1891987179,0.1891987179,0.3198717949
0.1936858974,0.1936858974,0.3288354701
0.1982692308,0.1982692308,0.3384722222
0.2039102564,0.2039102564,0.3474679487
0.2104273504,0.2104273504,0.356741453
0.2173504274,0.2173504274,0.3662820513
0.223482906,0.223482906,0.3753632479
0.2296260684,0.2296260684,0.384465812
0.2356089744,0.2356089744,0.393482906
0.2416880342,0.2416880342,0.4027884615
0.2479380342,0.2479380342,0.4115918803
0.2546688034,0.2546688034,0.420982906
0.2614316239,0.2614316239,0.4294871795
0.2680235043,0.2680235043,0.4385790598
0.274508547,0.274508547,0.4474252137
0.2799893162,0.2799893162,0.4557264957
0.2862286325,0.2862286325,0.4641239316
0.2919764957,0.2919764957,0.4718376068
0.2979380342,0.2979380342,0.4796794872
0.3040064103,0.3040064103,0.4870512821
0.3098183761,0.3098183761,0.4940811966
0.3154273504,0.3154273504,0.5011752137
0.321292735,0.321292735,0.5083012821
0.3271901709,0.3271901709,0.516207265
0.3329273504,0.3329273504,0.5236965812
0.3400320513,0.3400320513,0.5306623932
0.3488888889,0.3488888889,0.5381410256
0.3570299145,0.3570299145,0.5451388889
0.3654273504,0.3654273504,0.5523183761
0.3742948718,0.3742948718,0.559508547
0.3828098291,0.3828098291,0.5665705128
0.3914636752,0.3914636752,0.5733974359
0.3999358974,0.3999358974,0.5798931624
0.4081837607,0.4081837607,0.5869017094
0.4164636752,0.4164636752,0.5933440171
0.4254059829,0.4254059829,0.6001923077
0.4345619658,0.4345619658,0.6076388889
0.4434508547,0.4434508547,0.6150534188
0.4525320513,0.4525320513,0.6227136752
0.4618803419,0.4618803419,0.6304166667
0.4708333333,0.4708333333,0.6373717949
0.4795833333,0.4795833333,0.643792735
0.4882478632,0.4882478632,0.6496367521
0.4977457265,0.4977457265,0.6550320513
0.5074252137,0.5074252137,0.6604807692
0.5169230769,0.5169230769,0.6648931624
0.5261645299,0.5261645299,0.66875
0.5363782051,0.5363782051,0.6721581197
0.5475747863,0.5475747863,0.6749679487
0.5579594017,0.5579594017,0.6777457265
0.5683867521,0.5683867521,0.6805876068
0.5786431624,0.5786431624,0.6835470085
0.5884188034,0.5884188034,0.6863247863
0.5978098291,0.5978098291,0.6892735043
0.607008547,0.607008547,0.6917307692
0.6164850427,0.6164850427,0.6944551282
0.6251495726,0.6251495726,0.6971581197
0.6349038462,0.6349038462,0.6997863248
0.6442628205,0.6442628205,0.7022435897
0.6536645299,0.6536645299,0.7048397436
0.6623290598,0.6623290598,0.7073397436
0.6703739316,0.6703739316,0.7097222222
0.6778846154,0.6778846154,0.7120299145
0.6850961538,0.6850961538,0.7138675214
0.6918055556,0.6918055556,0.7155769231
0.6972115385,0.6972115385,0.7172115385
0.7017307692,0.7017307692,0.7188995726
0.7061645299,0.7061645299,0.7205662393
0.7093696581,0.7093696581,0.7221367521
0.7124252137,0.7124252137,0.7236538462
0.7153632479,0.7153632479,0.724957265
0.7179487179,0.7179487179,0.7265384615
0.720491453,0.720491453,0.7283012821
0.7227884615,0.7227884615,0.7295726496
0.7246901709,0.7246901709,0.7310363248
0.7266132479,0.7266132479,0.7323824786
0.7285470085,0.7285470085,0.7337179487
0.7302991453,0.7302991453,0.7351602564
0.7319337607,0.7319337607,0.73625
0.7335042735,0.7335042735,0.7375747863
0.7348717949,0.7348717949,0.739017094
0.7361538462,0.7361538462,0.7406410256
0.7374786325,0.7374786325,0.7419764957
0.7387713675,0.7387713675,0.7433440171
0.7401709402,0.7401709402,0.7448504274
0.741784188,0.741784188,0.7462286325
0.743215812,0.743215812,0.747724359
0.7447863248,0.7447863248,0.7489850427
