R,G,B
0,1.07E-05,5.34E-04
0.00E+00,1.07E-05,1.03E-03
0,2.14E-05,1.68E-03
0,1.07E-04,2.99E-03
2.14E-05,2.24E-04,4.83E-03
7.48E-05,5.13E-04,7.87E-03
2.67E-04,1.11E-03,0.01189102564
1.05E-03,2.23E-03,0.01704059829
2.83E-03,4.62E-03,2.21E-02
5.26E-03,8.29E-03,2.71E-02
8.09E-03,1.21E-02,3.16E-02
9.99E-03,1.53E-02,3.66E-02
1.19E-02,1.83E-02,0.04173076923
1.36E-02,0.02112179487,0.04715811966
1.53E-02,0.0238034188,0.05217948718
1.68E-02,0.0268482906,0.05696581197
1.80E-02,0.02949786325,0.06208333333
1.91E-02,0.03212606838,0.06736111111
2.08E-02,0.03516025641,0.07277777778
0.02232905983,0.03824786325,0.0786965812
2.42E-02,0.04144230769,0.085
0.02586538462,0.04521367521,0.09113247863
0.02751068376,0.04935897436,0.09806623932
0.02915598291,0.0536965812,0.1058760684
3.08E-02,0.05751068376,0.1146688034
0.03232905983,0.06131410256,0.123974359
0.03379273504,0.06502136752,0.1338675214
3.52E-02,0.06798076923,0.1439102564
3.66E-02,0.07142094017,0.154508547
0.0378525641,0.07471153846,0.16625
0.03935897436,0.07814102564,0.1780876068
4.06E-02,0.08170940171,0.1903311966
4.19E-02,0.08549145299,0.2020299145
0.04346153846,0.08950854701,0.2150641026
0.04502136752,0.09363247863,0.2277350427
4.63E-02,0.09788461538,0.2411217949
4.78E-02,0.1025106838,0.2555448718
0.04930555556,0.1078311966,0.2693696581
0.0509508547,0.1130876068,0.2822649573
5.28E-02,0.1187606838,0.295224359
5.46E-02,0.1240811966,0.3088888889
0.05651709402,0.1296474359,0.3225747863
0.05817307692,0.1356623932,0.3359401709
5.98E-02,0.141784188,0.3494337607
0.06165598291,0.1480128205,0.3625961538
0.06341880342,0.1548076923,0.3755769231
0.06522435897,0.1629059829,0.389241453
0.0671474359,0.1708333333,0.4026602564
0.0690491453,0.1789209402,0.4159294872
0.07113247863,0.1866132479,0.4291025641
0.07335470085,0.194017094,0.4418482906
0.07555555556,0.2018269231,0.4546474359
0.07764957265,0.2107051282,0.467275641
0.07969017094,0.2204059829,0.4791025641
0.08183760684,0.2298931624,0.4906517094
0.0840491453,0.2395833333,0.5025747863
0.08626068376,0.2502350427,0.5131730769
0.08898504274,0.2608547009,0.5238141026
0.09201923077,0.271474359,0.5339957265
0.09510683761,0.2824358974,0.5444551282
0.0986965812,0.293258547,0.5546367521
0.1022115385,0.3045833333,0.5643482906
0.1058547009,0.3149893162,0.5738034188
0.1097222222,0.3255662393,0.5835470085
0.1135470085,0.3363141026,0.5923717949
0.1178632479,0.3476282051,0.6006837607
0.1222435897,0.3591559829,0.6098290598
0.1264102564,0.3708653846,0.6178525641
0.1310363248,0.3822008547,0.6259401709
0.1357905983,0.3938034188,0.6341880342
0.1406196581,0.4058974359,0.6419017094
0.145267094,0.4177457265,0.6499465812
0.1500534188,0.4288888889,0.6567521368
0.154957265,0.4403739316,0.6633760684
0.1603418803,0.4506303419,0.6705982906
0.165534188,0.4611538462,0.6778525641
0.1712713675,0.4713675214,0.6839209402
0.1775213675,0.4813141026,0.6897222222
0.1839636752,0.4904700855,0.6964209402
0.1909508547,0.499017094,0.7024465812
0.1979700855,0.5080662393,0.7085363248
0.2053311966,0.517724359,0.7148824786
0.2132371795,0.5267628205,0.7211431624
0.2213782051,0.5361752137,0.7274358974
0.2296367521,0.5458653846,0.7332264957
0.2384401709,0.5551709402,0.7395512821
0.2471794872,0.5636752137,0.7456730769
0.2558760684,0.5723183761,0.7518376068
0.2651388889,0.5809401709,0.7579807692
0.274732906,0.5898611111,0.7641880342
0.2841025641,0.5994551282,0.7708974359
0.2934401709,0.6079700855,0.7781837607
0.3030662393,0.6168269231,0.7848183761
0.3122008547,0.6250747863,0.7913141026
